AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at
AFFX-HUMGAPDH/M33197_M_st (endogenous control),AFFX-HUMGAPDH/M33197_M_st
AFFX-HUMGAPDH/M33197_3_st (endogenous control),AFFX-HUMGAPDH/M33197_3_st
AFFX-HSAC07/X00351_5_st (endogenous control),AFFX-HSAC07/X00351_5_st
AFFX-HSAC07/X00351_M_st (endogenous control),AFFX-HSAC07/X00351_M_st
GB DEF = GABAa receptor alpha-3 subunit,A28102_at
Osteomodulin,AB000114_at
mRNA,AB000115_at
Semaphorin E,AB000220_at
MNK1,AB000409_at
VRK1,AB000449_at
VRK2,AB000450_at
mRNA, clone RES4-22A,AB000460_at
SH3 binding protein, clone RES4-23A,AB000462_at
mRNA, clone RES4-24A, exon 1, 2, 3, 4,AB000464_at
mRNA, clone RES4-24C, exon 1, 2, 3,AB000466_at
mRNA, clone RES4-25, partial cds,AB000467_at
Zinc finger protein, clone RES4-26,AB000468_at
Prostate differentiation factor mRNA,AB000584_at
GB DEF = Cadherin FIB1, partial cds,AB000895_at
GB DEF = Cadherin FIB2, partial cds,AB000896_at
GB DEF = Cadherin FIB3, partial cds,AB000897_at
GB DEF = DNA for H4 histone,AB000905_at
GLIA MATURATION FACTOR BETA,AB001106_at
AQP3 Aquaporin 3,AB001325_at
KIAA0316 gene,AB002314_at
KIAA0317 gene,AB002315_at
KIAA0320 gene, partial cds,AB002318_at
KIAA0367 gene, partial cds,AB002365_at
KIAA0368 gene, partial cds,AB002366_at
KIAA0382 gene, partial cds,AB002380_at
KIAA0384 gene,AB002382_at
GB DEF = SLC,AB002409_at
Hunc18b2,AB002559_at
Proteasome subunit p44.5,AB003102_at
Proteasome subunit p55,AB003103_at
Proteasome subunit p27,AB003177_at
Cdc7-related kinase,AB003698_at
PKU-alpha, partial cds,AB004884_at
Aquaporin 6,AB006190_at
WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2,AC000061_cds2_at
WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2,AC000061_cds3_at
GB DEF = PAC clone 2G3A from 13q12-13q13, complete sequence,AC000062_at
WUGSC:H_RG083M05.2 gene extracted from Human BAC clone RG083M05 from 7q21-7q22,AC000064_cds1_at
WUGSC:H_RG083M05.1 gene extracted from Human BAC clone RG083M05 from 7q21-7q22,AC000064_cds2_at
GB DEF = BAC clone RG293F11 from 7q21-7q22, complete sequence,AC000066_at
Metabotropic glutamate receptor 8 mRNA,AC000099_at
WUGSC:H_GS188P18.1a gene extracted from Human BAC clone GS188P18,AC000115_cds1_at
A-589H1.1 from  Homo sapiens Chromosome 16 BAC clone CIT987-SKA-589H1  ~complete genomic sequence, complete sequence./ntype=DNA /annot=mRNA,AC002045_xpt1_at
WUGSC:DJ515N1.2 gene extracted from Human PAC clone DJ515N1 from 22q11.2-q22,AC002073_cds1_at
GUANINE NUCLEOTIDE-BINDING PROTEIN G(T), ALPHA-1 SUBUNIT,AC002077_at
GB DEF = PAC clone DJ525N14 from Xq23, complete sequence,AC002086_at
COX6B gene (COXG) extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence,AC002115_cds1_at
F25451_3 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence,AC002115_cds3_at
UPKA gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence,AC002115_cds4_at
F25451_2 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence,AC002115_rna2_at
GB DEF = BAC clone GS244B22 from 7q21-q22, complete sequence,AC002450_at
GB DEF = BAC clone RG331P03, complete sequence,AC002464_at
GB DEF = BAC clone RG367O17 from 7p15-p21, complete sequence,AC002486_at
Hypothetical human serine-threonine protein kinase R31240_1 gene extracted from Homo sapiens DNA from chromosome 19p13.2 cosmids R31240, R30272 and R28549 containing the EKLF, GCDH, CRTC, and RAD23A genes, genomic sequence,AD000092_cds1_at
Hypothetical human protein R31240_2 gene extracted from Homo sapiens DNA from chromosome 19p13.2 cosmids R31240, R30272 and R28549 containing the EKLF, GCDH, CRTC, and RAD23A genes, genomic sequence,AD000092_cds2_at
LISCH7 gene (liver-specific bHLH-Zip transcription factor) extracted from Homo sapiens DNA from chromosome 19-cosmid R30879 containing USF2, genomic sequence,AD000684_cds1_at
Comment for location 3447-3655: BLASTX gi|103290|pir||S16356 ovo protein - fruit fly (Drosophila melanogaster), PVal= 3.8e-47 gene extracted from Homo sapiens DNA from chromosome 19-cosmid f24590 containing CAPNS and POL2RI, genomic sequence,AD001527_cds1_at
Sm-like protein CaSm (CaSm) mRNA,AF000177_at
RAS-RELATED PROTEIN RAB-11A,AF000231_at
P2x purinoceptor mRNA,AF000234_at
Dynamin-like protein mRNA,AF000430_at
GB DEF = Putative purinergic receptor P2Y10 gene,AF000545_at
TTF-I interacting peptide 20 mRNA, partial cds,AF000560_at
Uroplakin II mRNA, partial cds,AF000562_at
Homogentisate 1,2-dioxygenase gene,AF000573_rna1_at
Transmembrane protein mRNA,AF000959_at
IPL (IPL) mRNA,AF001294_at
Trabecular meshwork inducible glucocorticoid response protein (TIGR) mRNA,AF001620_at
Niemann-Pick C disease protein (NPC1) mRNA,AF002020_at
GB DEF = Angelman Syndrome Gene, E6-AP ubiquitin protein ligase 3A (UBE3A) mRNA from promoter P1, 5UTR,AF002224_at
RET ligand 2 (RETL2) mRNA,AF002700_at
GB DEF = Delayed rectifier potassium channel (KVLQT1-Iso5) mRNA, 5 UTR and partial cds,AF003743_at
GB DEF = Secretory carrier membrane protein (SCAMP1) mRNA,AF005037_at
Poly(ADP-ribose) glycohydrolase (hPARG) mRNA,AF005043_at
GB DEF = Importin alpha 6 mRNA,AF005361_at
Caspase-like apoptosis regulatory protein 2 (clarp) mRNA, alternatively spliced,AF005775_at
ATF family member ATF6 (ATF6) mRNA,AF005887_at
Fas-binding protein (DAXX) mRNA, partial cds,AF006041_at
Arp2/3 protein complex subunit p41-Arc (ARC41) mRNA,AF006084_at
Arp2/3 protein complex subunit p20-Arc (ARC20) mRNA,AF006087_at
GB DEF = RGS3 mRNA, 5 UTR,AF006609_at
MDM2-like p53-binding protein (MDMX) mRNA,AF007111_at
Bet1p homolog (hbet1) mRNA,AF007551_at
Dolichol monophosphate mannose synthase (DPM1) mRNA, partial cds,AF007875_at
Phospholipid scramblase mRNA,AF008445_at
GB DEF = Syntaxin-16C mRNA,AF008937_at
GB DEF = TEB4 protein mRNA,AF009301_at
GB DEF = Luman mRNA,AF009368_at
Clone 22 mRNA, alternative splice variant alpha-1,AF009426_at
Axin (AXIN) mRNA, partial cds,AF009674_at
MAD-related gene SMAD7 (SMAD7) mRNA,AF010193_at
Peropsin (Rrh) mRNA,AF012270_at
Chemokine receptor X (CKRX) mRNA,AF014958_at
GB DEF = Unknown protein mRNA, partial cds,AF015910_at
GB DEF = SKB1Hs mRNA,AF015913_at
GB DEF = Telomerase reverse transcriptase (hTRT) mRNA,AF015950_at
GB DEF = C8FW phosphoprotein,AJ000480_at
GB DEF = Matrilin-3,AJ001047_at
GB DEF = Rer1 protein,AJ001421_at
GB DEF = Transformation-sensitive protein, 3UTR,AJ001487_at
ANX2 Annexin II (lipocortin II),D00017_at
CHC1 Chromosome condensation 1,D00591_at
TYMS Thymidylate synthase,D00596_at
GPX3 Glutathione peroxidase 3 (plasma),D00632_at
Enteric smooth muscle gamma-actin gene, 5 flank and,D00654_at
GCSH Glycine cleavage system protein H (aminomethyl carrier),D00723_at
FECH Ferrochelatase (protoporphyria),D00726_at
PSMA3 Proteasome component C3,D00760_at
PSMA5 Proteasome component C5,D00761_at
PROTEASOME COMPONENT C8,D00762_at
GAPD Glyceraldehyde-3-phosphate dehydrogenase,D00763_at
PTAFR Platelet activating factor receptor,D10202_at
PRKCD Protein kinase C, delta,D10495_at
ACAT1 Acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase),D10511_at
MACS Myristoylated alanine-rich C-kinase substrate,D10522_at
OGDH Oxoglutarate dehydrogenase (lipoamide),D10523_at
CRK V-crk avian sarcoma virus CT10 oncogene homolog,D10656_at
CHK Choline kinase ,D10704_at
PROBABLE G PROTEIN-COUPLED RECEPTOR HM74,D10923_at
GB DEF = Serotonin 1B receptor,D10995_at
IL2RG Interleukin 2 receptor gamma chain,D11086_at
26S PROTEASE REGULATORY SUBUNIT 7,D11094_at
TIMP1 Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor),D11139_at
EDNRA Endothelin receptor type A,D11151_at
PMP22 Peripheral myelin protein 22,D11428_at
Plasma cell membrane glycoprotein (PC-1) mRNA,D12485_at
NF1 Neurofibromin,D12625_at
Lysosomal sialoglycoprotein,D12676_at
EIF4G Eukaryotic translation initiation factor 4 (eIF-4) gamma,D12686_at
ST2 Suppression of tumorigenicity 2,D12763_at
ATP SYNTHASE LIPID-BINDING PROTEIN P1 PRECURSOR,D13118_at
EDNRB Endothelin receptor type B,D13168_at
MSR1 Macrophage scavenger receptor 1,D13264_at
CCKBR Cholecystokinin B receptor,D13305_at
GLO1 Glyoxalase I,D13315_at
DNA-(APURINIC OR APYRIMIDINIC SITE) LYASE,D13370_at
PIGF Phosphatidylinositol glycan, class F,D13435_at
PTPN11 Protein tyrosine phosphatase, non-receptor type 11,D13540_at
KIAA0001 gene,D13626_at
KIAA0002 gene,D13627_at
ANGPT1 Angiopoietin 1,D13628_at
KIAA0005 gene,D13630_at
KIAA0008 gene,D13633_at
KIAA0009 gene,D13634_at
KIAA0010 gene,D13635_at
KIAA0011 gene,D13636_at
KIAA0012 gene,D13637_at
CCND2 Cyclin D2,D13639_at
HLA-C Major histocompatibility complex, class I, C,D13640_at
KIAA0016 gene,D13641_at
KIAA0017 gene,D13642_at
KIAA0018 gene,D13643_at
40S RIBOSOMAL PROTEIN S17,D13644_at
KIAA0020 gene,D13645_at
EIF4A1 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 1,D13748_at
MGAT3 Mannosyl(beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase,D13789_at
Peptide YY precursor gene extracted from Human DNA for peptide YY,D13897_rna2_at
Mitochondrial short-chain enoyl-CoA hydratase,D13900_at
DNA-BINDING PROTEIN MEL-18,D13969_at
Rab GDI mRNA,D13988_at
PUTATIVE MUCIN CORE PROTEIN PRECURSOR 24,D14043_at
RECA Replication protein A (E coli RecA homolog, RAD51 homolog),D14134_at
HFREP-1 mRNA for unknown protein,D14446_at
COT Proto-oncogene c-cot (protein-serine/threonine kinase),D14497_at
GC-Box binding protein BTEB2,D14520_at
40S RIBOSOMAL PROTEIN S23,D14530_at
XPA Xeroderma pigmentosum, complementation group A,D14533_at
KIAA0101 gene,D14657_at
KIAA0102 gene,D14658_at
KIAA0103 gene,D14659_at
PUTATIVE 60S RIBOSOMAL PROTEIN,D14660_at
KIAA0105 gene,D14661_at
KIAA0106 gene,D14662_at
KIAA0107 gene,D14663_at
KIAA0022 gene,D14664_at
Kinesin-related protein, partial cds,D14678_at
AMT Glycine cleavage system protein T (aminomethyltransferase),D14686_at
NUCLEAR PORE COMPLEX PROTEIN NUP214,D14689_at
PHOSPHATIDYLSERINE SYNTHASE I,D14694_at
APOA2 Apolipoprotein A-II,D14695_at
ATP5A1 ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle,D14710_at
KIAA0110 gene,D14811_at
KIAA0026 gene,D14812_at
GB DEF = Chimeric mRNA derived from AML1 gene and MTG8(ETO) gene, partial sequence,D14822_at
GB DEF = Chimeric mRNA derived from AML1 gene and MTG8(ETO) gene, partial sequence,D14823_at
GB DEF = Tax helper protein 1,D14827_at
FGF9 Fibroblast growth factor 9 (glia-activating factor),D14838_at
ADM Adrenomedullin,D14874_at
Protein D123,D14878_at
Small GTP-binding protein, S10,D14889_at
PTPRH Protein tyrosine phosphatase,D15049_at
Transcription factor AREB6,D15050_at
DEFENDER AGAINST CELL DEATH 1,D15057_at
PMP2 Peripheral myelin protein 2,D16181_at
CAST Calpastatin,D16217_at
HPCAL1 Hippocalcin-like 1,D16227_at
3-KETOACYL-COA THIOLASE MITOCHONDRIAL,D16294_at
SA mRNA for SA gene product,D16350_at
ORF, Xq terminal portion,D16469_at
VLDLR Very low density lipoprotein receptor,D16532_at
ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR,D16562_at
MTH1 MutT (E. coli) human homolog (8-oxo-7,8-dihydroguanosine triphosphatase),D16581_at
HDC Histidine decarboxylase,D16583_at
HPCA Hippocalcin,D16593_at
HAL Histidine ammonia-lyase,D16626_at
EAR-1r,D16815_at
GB DEF = Activin beta-A gene, regulatory sequence of 5upstream region,D17357_at
MDC protein,D17390_at
Alpha 4(IV) collagen, C-terminal,D17391_at
PTS 6-pyruvoyltetrahydropterin synthase,D17400_at
GB DEF = GULO gene for L-gulono-gamma-lactone oxidase, exon 9,10 and 12,D17461_at
GB DEF = PACAP receptor,D17516_at
CRARF C4/C2 activating component of Ra-reactive factor,D17525_at
GB DEF = N-acetylglucosaminyltransferase V,D17716_at
KIAA0030 gene, partial cds,D21063_at
XPC Xeroderma pigmentosum, complementation group C,D21089_at
XP-C repair complementing protein (p58/HHR23B),D21090_at
KIAA0031 gene,D21163_at
Estrogen responsive finger protein,D21205_at
C3G protein,D21239_at
CDH11 Cadherin 11 (OB-cadherin),D21255_at
60S RIBOSOMAL PROTEIN L23,D21260_at
SM22-ALPHA HOMOLOG,D21261_at
KIAA0035 gene, partial cds,D21262_at
SYNAPTOSOMAL ASSOCIATED PROTEIN 25,D21267_at
COL4A6 Collagen, type IV, alpha 6,D21337_at
KIAA0028 gene, partial cds,D21851_at
KIAA0029 gene, partial cds,D21852_at
EUKARYOTIC INITIATION FACTOR 4A-LIKE NUK-34,D21853_at
BST-1,D21878_at
RPL4 Ribosomal protein L4,D23660_at
UBL1 Ubiquitin-like protein,D23662_at
mRNA, clone HH109 (screened by the monoclonal antibody of insulin receptor substrate-1 (IRS-1)),D23673_at
KIAA0032 gene,D25215_at
KIAA0014 gene,D25216_at
KIAA0027 gene, partial cds,D25217_at
KIAA0112 gene, partial cds,D25218_at
Randomly sequenced mRNA,D25248_at
Randomly sequenced mRNA,D25274_at
KIAA0036 gene,D25278_at
Integrin alpha subunit,D25303_at
PFKP Phosphofructokinase, platelet,D25328_at
KIAA0037 gene,D25538_at
KIAA0040 gene,D25539_at
PIMT isozyme I,D25547_at
KIAA0039 gene, partial cds,D26018_at
KIAA0033 gene, partial cds,D26067_at
KIAA0038 gene, partial cds,D26068_at
KIAA0041 gene, partial cds,D26069_at
RNS1 Ribonuclease A (pancreatic),D26129_at
DAGK3 Diacylglycerol kinase, gamma (90kD),D26135_at
NADPH-flavin reductase,D26308_at
Type 2 inositol 1,4,5-trisphosphate receptor,D26350_at
KIAA0042 gene,D26361_at
KIAA0043 gene,D26362_at
EXCITATORY AMINO ACID TRANSPORTER 1,D26443_at
GB DEF = RNA helicase,D26528_at
ORF for L1 protein gene extracted from Human papillomavirus 5b genome integrated into human carcinoma DNA,D26561_cds1_at
ORF for E6 protein gene extracted from Human papillomavirus 5b genome integrated into human carcinoma DNA,D26561_cds2_at
ORF for E7 protein gene extracted from Human papillomavirus 5b genome integrated into human carcinoma DNA,D26561_cds3_at
Transmembrane protein,D26579_at
Proteasome subunit HsC10-II,D26598_at
Proteasome subunit HsC7-I,D26599_at
PROTEASOME BETA CHAIN PRECURSOR,D26600_at
MOBP Myelin-associated oligodendrocytic basic protein,D28114_at
DB1,D28118_at
Unknown product,D28124_at
RPS11 Ribosomal protein S11,D28137_at
GB DEF = Annexin II, 5UTR (sequence from the 5cap to the start codon),D28364_at
GB DEF = ATP synthase B chain, 5UTR (sequence from the 5cap to the start codon),D28383_at
GB DEF = Esterase D, 5UTR (sequence from the 5cap to the start codon),D28416_at
GB DEF = Pre-mRNA splicing factor SRp20, 5UTR (sequence from the 5cap to the start codon),D28423_at
KIAA0045 gene,D28476_at
Scr3 mRNA for RNA binding protein SCR3,D28483_at
Renal Na+-dependent phosphate cotransporter,D28532_at
SP2 Sp2 transcription factor,D28588_at
GB DEF = mRNA (KIAA00167), partial sequence,D28589_at
Hepatitis C-associated microtubular aggregate protein p44,D28915_at
PSMB6 Proteasome (prosome, macropain) subunit, beta type, 6,D29012_at
POLB DNA polymerase beta subunit,D29013_at
HYPOTHETICAL MYELOID CELL LINE PROTEIN 2,D29641_at
HYPOTHETICAL MYELOID CELL LINE PROTEIN 3,D29642_at
KIAA0115 gene,D29643_at
HYPOTHETICAL MYELOID CELL LINE PROTEIN 5,D29677_at
Unknown product, partial cds,D29810_at
Salivary proline rich peptide P-B,D29833_at
HYPOTHETICAL MYELOID CELL LINE PROTEIN 6,D29954_at
PROBABLE UBIQUITIN CARBOXYL-TERMINAL HYDROLASE,D29956_at
KIAA0116 gene, partial cds,D29958_at
Platelet-endothelial tetraspan antigen 3 mRNA,D29963_at
PHOSPHATIDYLINOSITOL,D30036_at
PHOSPHATIDYLINOSITOL,D30037_at
EIF4A2 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 2,D30655_at
CAMK4 Calcium/calmodulin-dependent protein kinase IV,D30742_at
VIM Vimentin,D30755_at
KIAA0108 gene,D30756_at
KIAA0050 gene,D30758_at
GC box bindig protein,D31716_at
KIAA0057 gene,D31762_at
KIAA0065 gene, partial cds,D31763_at
KIAA0064 gene,D31764_at
KIAA0061 gene, partial cds,D31765_at
PUTATIVE GLUCOSAMINE-6-PHOSPHATE ISOMERASE,D31766_at
KIAA0058 gene,D31767_at
Cadherin-6,D31784_at
CD40LG CD40 antigen ligand (hyper IgM syndrome),D31797_at
SMP-30 (senescence marker protein-30),D31815_at
AQP2 Aquaporin 2 (collecting duct),D31846_at
KIAA0059 gene,D31883_at
KIAA0063 gene,D31884_at
KIAA0069 gene, partial cds,D31885_at
KIAA0066 gene, partial cds,D31886_at
KIAA0062 gene, partial cds,D31887_at
KIAA0071 gene, partial cds,D31888_at
KIAA0070 gene, partial cds,D31890_at
KIAA0067 gene,D31891_at
Doc2 (Double C2),D31897_at
GB DEF = HuSAA1g gene for serum amyloid A1 gamma, exon 3 and intron 3,D32001_at
AARS Alanyl-tRNA synthetase,D32050_at
ADRA1C Adrenergic, alpha-1C-, receptor,D32202_at
RNS4 Ribonuclease 4 (2,5-oligoisoadenylate synthetase-dependent),D37931_at
PDGF receptor beta-like tumor suppressor (PRLTS),D37965_at
FK-506 binding protein (fkbp12.6) gene,D38037_at
26S PROTEASOME REGULATORY SUBUNIT P31,D38047_at
Proteasome subunit z,D38048_at
RANBP1 RAN binding protein 1,D38076_at
PTGIR Prostaglandin I2 (prostacyclin) receptor (IP),D38128_at
Prostacyclin synthase,D38145_at
Clathrin-like protein,D38293_at
Tob,D38305_at
G protein-coupled receptor,D38449_at
GB DEF = A1 chain of type XIX collagen, exon +3,D38462_at
HYPOTHETICAL MYELOID CELL LINE PROTEIN 7,D38491_at
PMS8 mRNA (yeast mismatch repair gene PMS1 homologue), partial cds (C-terminal region),D38500_at
PMS8 mRNA (yeast mismatch repair gene PMS1 homologue), partial cds (C-terminal region),D38503_at
KIAA0077 gene, partial cds,D38521_at
KIAA0080 gene, partial cds,D38522_at
NT5 5 nucleotidase (CD73),D38524_at
PK-120,D38535_at
KIAA0076 gene,D38548_at
KIAA0068 gene, partial cds,D38549_at
KIAA0075 gene, partial cds,D38550_at
KIAA0078 gene,D38551_at
KIAA0073 gene, partial cds,D38552_at
KIAA0074 gene, partial cds,D38553_at
KIAA0079 gene,D38555_at
Calgizzarin,D38583_at
Kid (kinesin-like DNA binding protein),D38751_at
KIAA0087 gene,D42038_at
KIAA0081 gene, partial cds,D42039_at
KIAA0088 gene, partial cds,D42041_at
KIAA0084 gene, partial cds,D42043_at
KIAA0090 gene, partial cds,D42044_at
KIAA0086 gene,D42045_at
KIAA0083 gene, partial cds,D42046_at
KIAA0089 gene, partial cds,D42047_at
KIAA0091 gene,D42053_at
KIAA0092 gene,D42054_at
NEDD-4 PROTEIN,D42055_at
RanBP2 (Ran-binding protein 2),D42063_at
NF1 Neurofibromin,D42072_at
Reticulocalbin,D42073_at
KIAA0094 gene, partial cds,D42084_at
KIAA0095 gene,D42085_at
KIAA0118 gene, partial cds,D42087_at
Phospholipase C,D42108_at
ESP1/CRP2,D42123_at
PIG-B,D42138_at
KIAA0096 gene, partial cds,D43636_at
ETO mRNA,D43638_at
YL-1 mRNA for YL-1 protein (nuclear protein with DNA-binding ability),D43642_at
Chemokine,D43767_at
LYMPHOTACTIN PRECURSOR,D43768_at
Squamous cell carcinama of esophagus mRNA for GRB-7 SH2 domain protein,D43772_at
KIAA0100 gene,D43947_at
KIAA0097 gene,D43948_at
KIAA0082 gene, partial cds,D43949_at
T-COMPLEX PROTEIN 1, EPSILON SUBUNIT,D43950_at
ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR,D43951_at
Proteasome subunit p112,D44466_at
Proteasome activator hPA28 subunit beta,D45248_at
ApM2 mRNA for GS2374 (unknown product specific to adipose tissue),D45370_at
ApM1 mRNA for GS3109 (novel adipose specific collagen-like factor),D45371_at
Cone-specific cGMP phosphodiesterase gamma subunit,D45399_at
LIMK-2,D45906_at
S-ADENOSYLMETHIONINE SYNTHETASE ALPHA AND BETA FORMS,D49357_at
GB DEF = NADP dependent leukotriene b4 12-hydroxydehydrogenase, partial cds,D49387_at
HTR3 5-hydroxytryptamine (serotonin) receptor 3,D49394_at
Apo1_Human (MER5(Aop1-Mouse)-like protein),D49396_at
Fetus brain mRNA for vacuolar ATPase,D49400_at
IL3RA Interleukin 3 receptor, alpha (low affinity),D49410_at
TTPA Tocopherol (alpha) transfer protein (ataxia (Friedreich-like) with vitamin E deficiency),D49488_at
Protein disulfide isomerase-related protein P5,D49489_at
Protein disulfide isomerase-related protein (PDIR),D49490_at
Bone morphogenetic protein-3b,D49493_at
U2AF1-RS2 mRNA,D49677_at
Cytoskeleton associated protein (CG22) mRNA,D49738_at
HGF activator like protein,D49742_at
Fructose 6-phosphate,2-kinase/fructose 2,6-bisphosphatase,D49817_at
Fructose 6-phosphate,2-kinase/fructose 2,6-bisphosphatase, partial cds,D49818_at
Liver mRNA for interferon-gamma inducing factor(IGIF),D49950_at
Fetus brain mRNA for membrane glycoprotein M6,D49958_at
Proteasome subunit p40_/ Mov34 protein,D50063_at
CANX Calnexin,D50310_at
UKATP-1,D50312_at
Nucleosome assembly protein,D50370_at
NRAMP1 Natural resistance-associated macrophage protein 1 (might include Leishmaniasis),D50402_at
RNA helicase (HRH1),D50487_at
Transcription elongation factor S-II, hS-II-T1,D50495_at
GB DEF = TI-227H,D50525_at
Macrophage lectin 2,D50532_at
GB DEF = Inward rectifier K channel,D50582_at
DNA for phosphodieaterase 3B,D50640_at
SDF2,D50645_at
CW-1 mRNA,D50663_at
Apolipoprotein E receptor 2,D50678_at
TGFBR2 Transforming growth factor, beta receptor II (70-80kD),D50683_at
C-myc binding protein,D50692_at
Placental leucine aminopeptidase,D50810_at
Ceramide glucosyltransferase,D50840_at
DOCK180 protein mRNA,D50857_at
TESK1,D50863_at
KIAA0121 gene,D50911_at
KIAA0122 gene, partial cds,D50912_at
KIAA0123 gene, partial cds,D50913_at
KIAA0124 gene, partial cds,D50914_at
KIAA0125 gene,D50915_at
KIAA0126 gene,D50916_at
KIAA0127 gene,D50917_at
KIAA0128 gene, partial cds,D50918_at
