AFFX-MurIL2_at (spiked control),AFFX-MurIL2_at
Cluster Incl. M20707:Human kappa-immunoglobulin germline pseudogene (Chr22.4) variable region (subgroup V kappa II) /cds=(0,320) /gb=M20707 /gi=185954 /ug=Hs.123030 /len=363,31319_at
Cluster Incl. U18548:Human GPR12 G protein coupled-receptor gene, complete cds /cds=(15,1019) /gb=U18548 /gi=604499 /ug=Hs.123034 /len=1101,31320_at
Cluster Incl. U41737:Human pancreatic beta cell growth factor (INGAP) mRNA, complete cds /cds=(5,520) /gb=U41737 /gi=1514681 /ug=Hs.123060 /len=586,31321_at
Cluster Incl. X61079:Human mRNA for T cell receptor, clone IGRA24 /cds=(0,142) /gb=X61079 /gi=33521 /ug=Hs.123062 /len=235,31322_at
Cluster Incl. S83374:glutamate transporter II variant B/HBGT IIB {5 region} [human, brain and spinal cord, mRNA Partial Mutant, 129 nt] /cds=(26,55) /gb=S83374 /gi=1911635 /ug=Hs.123079 /len=129,31323_r_at
Cluster Incl. U82303:Homo sapiens unknown protein mRNA, partial cds /cds=(0,257) /gb=U82303 /gi=1938329 /ug=Hs.123080 /len=344,31324_at
Cluster Incl. U82306:Homo sapiens unknown protein mRNA, partial cds /cds=(0,221) /gb=U82306 /gi=1938333 /ug=Hs.123081 /len=253,31325_at
Cluster Incl. AF005081:Homo sapiens skin-specific protein (xp32) mRNA, partial cds /cds=(0,340) /gb=AF005081 /gi=2589189 /ug=Hs.123091 /len=416,31326_at
Cluster Incl. AF015124:Homo sapiens IgG heavy chain variable region (Vh26) mRNA, partial cds /cds=(0,305) /gb=AF015124 /gi=2599349 /ug=Hs.123093 /len=340,31327_at
Cluster Incl. L13258:Homo sapiens renal Na/Pi-cotransporter mRNA, complete cds /cds=(81,2000) /gb=L13258 /gi=292349 /ug=Hs.936 /len=2554,31328_at
Cluster Incl. M84605:Human putative opioid receptor mRNA, complete cds /cds=(93,1415) /gb=M84605 /gi=189391 /ug=Hs.957 /len=4839,31329_at
Cluster Incl. M81757:H.sapiens S19 ribosomal protein mRNA, complete cds /cds=(22,459) /gb=M81757 /gi=337732 /ug=Hs.126701 /len=497,31330_at
Cluster Incl. L10123:Homo sapiens surfactant protein A mRNA, complete cds /cds=(2057,2893) /gb=L10123 /gi=402149 /ug=Hs.1071 /len=4161,31331_at
Cluster Incl. AF034207:Homo sapiens RIG-like 14-1 mRNA, complete cds /cds=(784,1041) /gb=AF034207 /gi=2724103 /ug=Hs.129699 /len=1799,31332_at
Cluster Incl. U91963:Human tolloid-like protein (TLL) mRNA, complete cds /cds=(647,3688) /gb=U91963 /gi=2735326 /ug=Hs.129700 /len=3919,31333_at
Cluster Incl. U92642:Human high-affinity lysophosphatidic acid receptor homolog mRNA, complete cds /cds=(156,1286) /gb=U92642 /gi=2735350 /ug=Hs.129701 /len=1777,31334_at
Cluster Incl. AF020763:Homo sapiens clone 1900 unknown protein mRNA, complete cds /cds=(618,1571) /gb=AF020763 /gi=2738928 /ug=Hs.129705 /len=1799,31335_at
Cluster Incl. AC004076:Homo sapiens chromosome 19, cosmid R30217 /cds=(0,2075) /gb=AC004076 /gi=2822142 /ug=Hs.129709 /len=2076,31336_at
Cluster Incl. AF036329:Homo sapiens gonadotropin-releasing hormone precursor, second form (GnRH-II) gene, complete cds /cds=(51,413) /gb=AF036329 /gi=2833652 /ug=Hs.129715 /len=423,31337_at
Cluster Incl. AF050198:Homo sapiens putative mitochondrial space protein 32.1 mRNA, nuclear gene encoding mitochondrial protein, complete cds /cds=(287,1270) /gb=AF050198 /gi=2961554 /ug=Hs.129730 /len=1374,31338_at
Cluster Incl. D45027:Homo sapiens mRNA for 25 kDa trypsin inhibitor, complete cds /cds=(484,1260) /gb=D45027 /gi=2943715 /ug=Hs.129732 /len=1440,31339_at
Cluster Incl. Y12779:H.sapiens mRNA for enamelysin /cds=(13,1464) /gb=Y12779 /gi=3005945 /ug=Hs.129737 /len=1674,31340_at
Cluster Incl. AF055989:Homo sapiens Shaw type potassium channel Kv3.3 (KCNC3) mRNA, complete cds /cds=(295,2568) /gb=AF055989 /gi=3249578 /ug=Hs.129738 /len=3177,31341_at
Cluster Incl. X85019:H.sapiens mRNA for UDP-GalNAc-polypeptide N-acetylgalactosaminyltransferase (T2) /cds=(0,1715) /gb=X85019 /gi=971460 /ug=Hs.130181 /len=1716,31342_at
Cluster Incl. AJ005835:Homo sapiens mRNA for interleukin 1 receptor antagonist, type III /cds=(0,10) /gb=AJ005835 /gi=3115205 /ug=Hs.131958 /len=171,31343_at
Cluster Incl. AF063725:Homo sapiens clone BCSynL38 immunoglobulin lambda light chain variable region mRNA, partial cds /cds=(0,116) /gb=AF063725 /gi=3142513 /ug=Hs.131961 /len=333,31344_at
Cluster Incl. AB002134:Homo sapiens mRNA for airway trypsin-like protease, complete cds /cds=(61,1317) /gb=AB002134 /gi=3184183 /ug=Hs.132195 /len=1500,31345_at
Cluster Incl. AJ001481:Homo sapiens mRNA for DUX1 protein /cds=(112,624) /gb=AJ001481 /gi=3171915 /ug=Hs.132196 /len=1227,31346_at
Cluster Incl. AF058075:Homo sapiens clone ASPBLL54 immunoglobulin lambda light chain VJ region mRNA, partial cds /cds=(0,143) /gb=AF058075 /gi=3093897 /ug=Hs.132733 /len=325,31347_at
Cluster Incl. X75917:H.sapiens mRNA for fetal beta-MHC binding factor /cds=(90,1286) /gb=X75917 /gi=438046 /ug=Hs.2654 /len=1671,31348_at
Cluster Incl. L10403:Homo sapiens DNA binding protein for surfactant protein B mRNA, complete cds /cds=(585,905) /gb=L10403 /gi=860726 /ug=Hs.3134 /len=1363,31349_at
Cluster Incl. AC004597:Homo sapiens chromosome 19, cosmid F20722 /cds=(0,950) /gb=AC004597 /gi=3068558 /ug=Hs.135305 /len=951,31350_at
Cluster Incl. X63966:H.sapiens synthetic gene for platelet-derived growth factor-BB /cds=(13,498) /gb=X63966 /gi=311378 /ug=Hs.135631 /len=514,31351_at
Cluster Incl. S79281:pancreatic ribonuclease [human, mRNA Recombinant Partial, 491 nt] /cds=(19,480) /gb=S79281 /gi=1087118 /ug=Hs.135633 /len=491,31352_at
Cluster Incl. X94553:H.sapiens HFKH4 mRNA for fork head like protein /cds=(2054,3556) /gb=X94553 /gi=1770431 /ug=Hs.135634 /len=3575,31353_f_at
Cluster Incl. X94553:H.sapiens HFKH4 mRNA for fork head like protein /cds=(2054,3556) /gb=X94553 /gi=1770431 /ug=Hs.135634 /len=3575,31354_r_at
Cluster Incl. U77629:Homo sapiens Achaete-Scute homologue 2 (ASCL2) gene, complete cds /cds=(336,917) /gb=U77629 /gi=2642464 /ug=Hs.135639 /len=932,31355_at
Cluster Incl. W27600:35a12 Homo sapiens cDNA /gb=W27600 /gi=1307548 /ug=Hs.136087 /len=732,31356_at
Cluster Incl. W26214:22d11 Homo sapiens cDNA /gb=W26214 /gi=1306625 /ug=Hs.136088 /len=697,31357_at
Cluster Incl. W26228:22e5 Homo sapiens cDNA /gb=W26228 /gi=1306639 /ug=Hs.136090 /len=711,31358_at
Cluster Incl. W27130:22g9 Homo sapiens cDNA /gb=W27130 /gi=1306664 /ug=Hs.136092 /len=736,31359_at
Cluster Incl. W26343:26b9 Homo sapiens cDNA /gb=W26343 /gi=1306898 /ug=Hs.136098 /len=715,31360_at
Cluster Incl. W27556:32e11 Homo sapiens cDNA /gb=W27556 /gi=1307360 /ug=Hs.136127 /len=763,31361_at
Cluster Incl. W26626:34a12 Homo sapiens cDNA /gb=W26626 /gi=1307469 /ug=Hs.136137 /len=890,31362_at
Cluster Incl. W27607:35b12 Homo sapiens cDNA /gb=W27607 /gi=1307555 /ug=Hs.136140 /len=693,31363_at
Cluster Incl. W27762:37c6 Homo sapiens cDNA /gb=W27762 /gi=1307710 /ug=Hs.136145 /len=743,31364_i_at
Cluster Incl. W27762:37c6 Homo sapiens cDNA /gb=W27762 /gi=1307710 /ug=Hs.136145 /len=743,31365_f_at
Cluster Incl. W27871:39a1 Homo sapiens cDNA /gb=W27871 /gi=1307819 /ug=Hs.136146 /len=860,31366_at
Cluster Incl. W27895:39c11 Homo sapiens cDNA /gb=W27895 /gi=1307843 /ug=Hs.136147 /len=843,31367_at
Cluster Incl. W27967:40b10 Homo sapiens cDNA /gb=W27967 /gi=1307915 /ug=Hs.136154 /len=755,31368_at
Cluster Incl. W28184:43c10 Homo sapiens cDNA /gb=W28184 /gi=1308132 /ug=Hs.136165 /len=954,31369_at
Cluster Incl. W28191:43d1 Homo sapiens cDNA /gb=W28191 /gi=1308139 /ug=Hs.136166 /len=954,31370_at
Cluster Incl. W28197:43d7 Homo sapiens cDNA /gb=W28197 /gi=1308145 /ug=Hs.136168 /len=886,31371_at
Cluster Incl. W28203:43g3 Homo sapiens cDNA /gb=W28203 /gi=1308169 /ug=Hs.136169 /len=818,31372_at
Cluster Incl. W28249:44b2 Homo sapiens cDNA /gb=W28249 /gi=1308197 /ug=Hs.136171 /len=896,31373_at
Cluster Incl. W28268:44d12 Homo sapiens cDNA /gb=W28268 /gi=1308216 /ug=Hs.136173 /len=836,31374_at
Cluster Incl. W28546:48c8 Homo sapiens cDNA /gb=W28546 /gi=1308494 /ug=Hs.136177 /len=927,31375_at
Cluster Incl. W28918:54a1 Homo sapiens cDNA /gb=W28918 /gi=1308884 /ug=Hs.136180 /len=821,31376_at
Cluster Incl. W26469:32f4 Homo sapiens cDNA /gb=W26469 /gi=1307375 /ug=Hs.136639 /len=754,31377_r_at
Cluster Incl. AF041339:Homo sapiens homeodomain protein (PITX3) mRNA, complete cds /cds=(3,911) /gb=AF041339 /gi=3258632 /ug=Hs.137568 /len=1187,31378_at
Cluster Incl. AF072164:Homo sapiens HSFE-1 mRNA, partial cds /cds=(763,1236) /gb=AF072164 /gi=3265149 /ug=Hs.137570 /len=2905,31379_at
Cluster Incl. AF059198:Homo sapiens protein kinase/endoribonulcease (IRE1) mRNA, complete cds /cds=(96,3029) /gb=AF059198 /gi=3300093 /ug=Hs.137575 /len=3629,31380_at
Cluster Incl. AF076483:Homo sapiens peptidoglycan recognition protein precursor (PGRP) mRNA, complete cds /cds=(44,634) /gb=AF076483 /gi=3342532 /ug=Hs.137583 /len=690,31381_at
Cluster Incl. AF016492:Homo sapiens UDP-glucuronosyltransferase 2B mRNA, complete cds /cds=(9,1598) /gb=AF016492 /gi=3360272 /ug=Hs.137585 /len=1704,31382_f_at
Cluster Incl. AF078533:Homo sapiens evolutionarily related interleukin-1beta converting enzyme mRNA, complete cds /cds=(62,1195) /gb=AF078533 /gi=3386522 /ug=Hs.137587 /len=2043,31383_at
Cluster Incl. W28702:50g10 Homo sapiens cDNA /gb=W28702 /gi=1308668 /ug=Hs.139040 /len=805,31384_at
Cluster Incl. U14969:Human ribosomal protein L28 mRNA, complete cds /cds=(27,440) /gb=U14969 /gi=550018 /ug=Hs.4437 /len=485,31385_at
Cluster Incl. M20812:Human kappa-immunoglobulin germline pseudogene (cos118) variable region (subgroup V kappa I) /cds=(6,326) /gb=M20812 /gi=185958 /ug=Hs.150224 /len=351,31386_at
Cluster Incl. AF068744:Homo sapiens double homeodomain protein (DUX2) mRNA, complete cds /cds=(211,453) /gb=AF068744 /gi=3414864 /ug=Hs.157425 /len=556,31387_at
Cluster Incl. L22650:Human early lymphoid activation protein (EPAG) mRNA sequence /cds=(54,371) /gb=L22650 /gi=468321 /ug=Hs.157431 /len=667,31388_at
Cluster Incl. U46752:Human phosphotyrosine independent ligand p62B B-cell isoform for the Lck SH2 domain mRNA, partial cds /cds=(0,1262) /gb=U46752 /gi=1184950 /ug=Hs.158298 /len=1975,31389_at
Cluster Incl. U20648:Human zinc finger protein (ZNF154) mRNA, partial cds /cds=(0,263) /gb=U20648 /gi=676874 /ug=Hs.158299 /len=791,31390_at
Cluster Incl. AF040723:Homo sapiens neuroan1 mRNA, complete cds /cds=(10,1869) /gb=AF040723 /gi=3282690 /ug=Hs.158300 /len=3925,31391_at
Cluster Incl. U88965:Human PO42 gene, complete cds /cds=(327,932) /gb=U88965 /gi=3282236 /ug=Hs.158302 /len=2164,31392_r_at
Cluster Incl. AB011076:Homo sapiens mRNA for UTF1, complete cds /cds=(15,1040) /gb=AB011076 /gi=3688603 /ug=Hs.158307 /len=1155,31393_r_at
Cluster Incl. AB006423:Homo sapiens TSA2004 mRNA, complete cds /cds=(57,1274) /gb=AB006423 /gi=3724281 /ug=Hs.158308 /len=1449,31394_at
Cluster Incl. AB012851:Homo sapiens mRNA for Musashi, complete cds /cds=(64,1152) /gb=AB012851 /gi=3786319 /ug=Hs.158311 /len=1940,31395_i_at
Cluster Incl. AB012851:Homo sapiens mRNA for Musashi, complete cds /cds=(64,1152) /gb=AB012851 /gi=3786319 /ug=Hs.158311 /len=1940,31396_r_at
Cluster Incl. AL022151:Human DNA sequence from clone 199L16 on chromosome Xq22.1-22.3. Contains a 40S Ribosomal Protein S29 LIKE (pseudo?) gene, an EST, STSs, GSSs and tcta and tatg repeat polymorphisms /cds=(58,210) /gb=AL022151 /gi=3790137 /ug=Hs.158312 /len=293,31397_at
Cluster Incl. AF091582:Homo sapiens bile salt export pump (BSEP) mRNA, complete cds /cds=(126,4091) /gb=AF091582 /gi=3873242 /ug=Hs.158316 /len=4776,31398_at
Cluster Incl. AF101441:Homo sapiens bone morphogenetic protein 10 (BMP10) mRNA, complete cds /cds=(159,1433) /gb=AF101441 /gi=3873290 /ug=Hs.158317 /len=1584,31399_at
Cluster Incl. AB018261:Homo sapiens mRNA for KIAA0718 protein, partial cds /cds=(0,2230) /gb=AB018261 /gi=3882156 /ug=Hs.158318 /len=3742,31400_at
Cluster Incl. AB018332:Homo sapiens mRNA for KIAA0789 protein, complete cds /cds=(800,1909) /gb=AB018332 /gi=3882298 /ug=Hs.158319 /len=4480,31401_r_at
Cluster Incl. AF103884:Homo sapiens minor histocompatibility antigen HB-1 mRNA, complete cds /cds=(107,232) /gb=AF103884 /gi=3901429 /ug=Hs.158320 /len=382,31402_at
Cluster Incl. U39905:Human vesicular monoamine transporter VMAT1 mRNA, complete cds /cds=(267,1844) /gb=U39905 /gi=1314289 /ug=Hs.158322 /len=2749,31403_at
Cluster Incl. AF019765:untitled /cds=(0,428) /gb=AF019765 /gi=3955190 /ug=Hs.158325 /len=623,31404_at
Cluster Incl. U25341:Human Mel1b-melatonin receptor (MTNR1B) mRNA, complete cds /cds=(12,1100) /gb=U25341 /gi=971193 /ug=Hs.158328 /len=1105,31405_at
Cluster Incl. U52219:Human melatonin-related receptor mRNA, complete cds /cds=(69,1910) /gb=U52219 /gi=1326154 /ug=Hs.158329 /len=1939,31406_at
Cluster Incl. U09860:Human enterokinase mRNA, complete cds /cds=(40,3099) /gb=U09860 /gi=746412 /ug=Hs.158333 /len=3696,31407_at
Cluster Incl. AF012270:Homo sapiens visual pigment-like receptor peropsin (Rrh) mRNA, complete cds /cds=(50,1063) /gb=AF012270 /gi=2307009 /ug=Hs.158338 /len=1374,31408_at
Cluster Incl. U35459:Human bomapin mRNA, complete cds /cds=(0,1193) /gb=U35459 /gi=1065408 /ug=Hs.158339 /len=1194,31409_at
Cluster Incl. AF023614:Homo sapiens transmembrane activator and CAML interactor (TACI) mRNA, complete cds /cds=(13,894) /gb=AF023614 /gi=2554947 /ug=Hs.158341 /len=1357,31410_at
Cluster Incl. AF000980:Homo sapiens testis-specific Basic Protein Y 2 (BPY2) mRNA, complete cds /cds=(332,652) /gb=AF000980 /gi=2580545 /ug=Hs.158342 /len=1202,31411_at
Cluster Incl. AF000988:Homo sapiens testis-specific PTP-BL Related Y protein (PRY) mRNA, complete cds /cds=(182,925) /gb=AF000988 /gi=2580561 /ug=Hs.158343 /len=1238,31412_at
Cluster Incl. AF000990:Homo sapiens testis-specific Testis Transcript Y 1 (TTY1) mRNA, partial cds /cds=(0,182) /gb=AF000990 /gi=2580565 /ug=Hs.158344 /len=910,31413_at
Cluster Incl. AF000991:Homo sapiens testis-specific Testis Transcript Y 2 (TTY2) mRNA, partial cds /cds=(0,73) /gb=AF000991 /gi=2580567 /ug=Hs.158345 /len=3167,31414_at
Cluster Incl. AF000997:Homo sapiens testis-specific XK Related Y (XKRY) mRNA, complete cds /cds=(663,1142) /gb=AF000997 /gi=2580579 /ug=Hs.158346 /len=1578,31415_at
Cluster Incl. AF019612:Homo sapiens S2P mRNA, complete cds /cds=(99,1658) /gb=AF019612 /gi=2745732 /ug=Hs.158347 /len=1759,31416_at
Cluster Incl. AF041240:Homo sapiens prepro-orexin mRNA, complete cds /cds=(87,482) /gb=AF041240 /gi=2897117 /ug=Hs.158348 /len=577,31417_at
Cluster Incl. Z97055:Human DNA sequence from PAC 388M5 on chromosome 22. Contains a 60S Ribosomal protein L1 like pseudogene, a chromosomal protein HMG-17 like gene, a Sulfotransferase (Sulfokinase) like gene, a putative GS2 like gene, a predicted CpG island, ESTs and STSs /cds=(146,367) /gb=Z97055 /gi=2916859 /ug=Hs.158349 /len=1159,31418_at
Cluster Incl. AF023203:Homo sapiens homeobox protein Og12 (OGL12) mRNA, partial cds /cds=(0,28) /gb=AF023203 /gi=2979681 /ug=Hs.158350 /len=412,31419_r_at
Cluster Incl. AL008721:Homo sapiens DNA sequence from BAC 390C10 on chromosome 22q11.21-12.1. Contains an Immunoglobulin LIKE gene and a pseudogene similar to Beta Crystallin. Contains ESTs, STSs, GSSs and taga and tat repeat polymorphisms /cds=(0,332) /gb=AL008721 /gi=3171883 /ug=Hs.158352 /len=355,31420_at
Cluster Incl. X52005:H.sapiens skeletal embryonic myosin light chain 1 (MLC1) mRNA /cds=(82,675) /gb=X52005 /gi=34677 /ug=Hs.159218 /len=1005,31421_at
Cluster Incl. Y16793:Homo sapiens hHa7 gene, complete CDS /cds=(0,1289) /gb=Y16793 /gi=3724115 /ug=Hs.159403 /len=1525,31422_at
Cluster Incl. AL021306:Human DNA sequence from clone 1109B5 on chromosome 22 /cds=(0,569) /gb=AL021306 /gi=2808416 /ug=Hs.159896 /len=570,31423_at
Cluster Incl. AC004853:Homo sapiens PAC clone DJ0669B10 from 7q33-q35 /cds=(0,953) /gb=AC004853 /gi=3766130 /ug=Hs.159899 /len=954,31424_at
Cluster Incl. AC004853:Homo sapiens PAC clone DJ0669B10 from 7q33-q35 /cds=(0,953) /gb=AC004853 /gi=3766130 /ug=Hs.159899 /len=954,31425_g_at
Cluster Incl. U34806:Human G protein-coupled receptor (GPR15) gene, complete cds /cds=(0,1082) /gb=U34806 /gi=1171145 /ug=Hs.159900 /len=1083,31426_at
Cluster Incl. U43604:Human unidentified mRNA, partial sequence /cds=UNKNOWN /gb=U43604 /gi=1171236 /ug=Hs.159901 /len=1677,31427_at
Cluster Incl. U56420:Human olfactory receptor (OLF1) gene, complete cds /cds=(0,944) /gb=U56420 /gi=1336040 /ug=Hs.159903 /len=945,31428_at
Cluster Incl. AE000659:Homo sapiens T-cell receptor alpha delta locus from bases 250472 to 501670 (section 2 of 5) of the Complete Nucleotide Sequence /cds=(0,342) /gb=AE000659 /gi=2358025 /ug=Hs.159904 /len=343,31429_at
Cluster Incl. AE000659:Homo sapiens T-cell receptor alpha delta locus from bases 250472 to 501670 (section 2 of 5) of the Complete Nucleotide Sequence /cds=(0,339) /gb=AE000659 /gi=2358025 /ug=Hs.159905 /len=340,31430_at
Cluster Incl. U12255:Human IgG Fc receptor hFcRn mRNA, complete cds /cds=(125,1222) /gb=U12255 /gi=595474 /ug=Hs.160741 /len=1440,31431_at
Cluster Incl. U12255:Human IgG Fc receptor hFcRn mRNA, complete cds /cds=(125,1222) /gb=U12255 /gi=595474 /ug=Hs.160741 /len=1440,31432_g_at
Cluster Incl. AL022727:Human DNA sequence from clone 80I19 on chromosome 6p21.31-22.2 Contains genes and pseudogenes for olfactory receptor-like proteins, STS, GSS /cds=(0,938) /gb=AL022727 /gi=3093312 /ug=Hs.163518 /len=939,31433_at
Cluster Incl. AF086790:Homo sapiens aconitase precursor (ACON) mRNA, nuclear gene encoding mitochondrial protein, partial cds /cds=(0,1803) /gb=AF086790 /gi=3600097 /ug=Hs.166002 /len=2196,31434_at
Cluster Incl. AF090327:Homo sapiens sperm maturation-related glycoprotein GP-83 mRNA, partial cds /cds=(0,1766) /gb=AF090327 /gi=3643252 /ug=Hs.166003 /len=1981,31435_at
Cluster Incl. AF061055:Homo sapiens estrogen receptor beta 5 splice variant mRNA, partial cds /cds=(0,194) /gb=AF061055 /gi=3094026 /ug=Hs.166006 /len=372,31436_s_at
Cluster Incl. AF061055:Homo sapiens estrogen receptor beta 5 splice variant mRNA, partial cds /cds=(0,194) /gb=AF061055 /gi=3094026 /ug=Hs.166006 /len=372,31437_r_at
